File,SP,CS,Date
BBS11034,-1718,8,04/07/2016 0:00:00
BBS11035,164,3,04/07/2016 0:00:00
BBS11036,-6509,5,04/07/2016 0:00:00
BBS11037,-12,5,04/07/2016 0:00:00
BBS11038,8,8,04/07/2016 0:00:00
BBS12001,16264,24,04/07/2016 0:00:00
BBS12002,2437,9,04/07/2016 0:00:00
BBS12003,3201,8,04/07/2016 0:00:00
BBS12004,29166,17,04/07/2016 0:00:00
BBS12005,9327,10,04/07/2016 0:00:00
BBS12006,1916,26,04/07/2016 0:00:00
BBS12007,33761,113,04/07/2016 0:00:00
BBS12008,26794,12,04/07/2016 0:00:00
BBS12009,962,11,04/07/2016 0:00:00
BBS12010,7779,26,04/07/2016 0:00:00
BBS12011,25577,25,04/07/2016 0:00:00
BBS12012,1634,36,04/07/2016 0:00:00
BBS12013,27408,74,04/07/2016 0:00:00
BBS12014,2871,4,04/07/2016 0:00:00
BBS12015,6236,4,04/07/2016 0:00:00
BBS12016,984,12,04/07/2016 0:00:00
BBS12017,9812,35,04/07/2016 0:00:00
BBS12018,8663,181,04/07/2016 0:00:00
BBS12019,10168,94,04/07/2016 0:00:00
BBS12020,895,18,04/07/2016 0:00:00
BBS12021,1593,8,04/07/2016 0:00:00
BBS12022,1612,18,04/07/2016 0:00:00
BBS12023,10081,88,04/07/2016 0:00:00
BBS12024,2222,44,04/07/2016 0:00:00
BBS12025,821,14,04/07/2016 0:00:00
BBS12026,43994,22,04/07/2016 0:00:00
BBS12027,19618,7,04/07/2016 0:00:00
BBS12028,5681,18,04/07/2016 0:00:00
BBS12029,28370,19,04/07/2016 0:00:00
BBS12030,5889,31,04/07/2016 0:00:00
BBS12031,44431,79,04/07/2016 0:00:00
BBS12032,3101,9,04/07/2016 0:00:00
BBS12033,3754,20,04/07/2016 0:00:00
BBS12034,2119,31,04/07/2016 0:00:00
BBS12035,71286,15,04/07/2016 0:00:00
BBS12036,6802,24,04/07/2016 0:00:00
BBS12037,25898,22,04/07/2016 0:00:00
BBS12038,10425,19,04/07/2016 0:00:00
BBS12039,3223,9,04/07/2016 0:00:00
BBS12040,1395,13,04/07/2016 0:00:00
BBS12041,2480,15,04/07/2016 0:00:00
BBS12042,1312,33,04/07/2016 0:00:00
BBS12043,97063,9,04/07/2016 0:00:00
BBS12044,23322,22,04/07/2016 0:00:00
BBS20001,13506,0,04/07/2016 0:00:00
BBS20002,4416,0,04/07/2016 0:00:00
BBS20003,1395498,3,04/07/2016 0:00:00
BBS20004,932224,15,04/07/2016 0:00:00
BBS20005,-63800,1,04/07/2016 0:00:00
BBS20006,391319,8,04/07/2016 0:00:00
BBS20007,-12942,3,04/07/2016 0:00:00
BBS20008,-121695,1,04/07/2016 0:00:00
BBS20009,153569,9,04/07/2016 0:00:00
BBS20010,251581,9,04/07/2016 0:00:00
BBS20011,30409,4,04/07/2016 0:00:00
BBS20012,67321,4,04/07/2016 0:00:00
BBS20013,37841,8,04/07/2016 0:00:00
