File,SP,CS,Date
1awe_1pls,-172634,1,04/07/2016 0:00:00
1ax4A_2dkb,257392,1,04/07/2016 0:00:00
1ax4A_2tplA,717642,3,04/07/2016 0:00:00
1ax8_1f6fA,95568,0,04/07/2016 0:00:00
1ax8_1rcb,9001,0,04/07/2016 0:00:00
1axiB_1bp3B,-72970,0,04/07/2016 0:00:00
1axiB_1j7vR,-49253,0,04/07/2016 0:00:00
1axkA_2nlrA,-537577,2,04/07/2016 0:00:00
1aye_1qmuA,-190540,0,04/07/2016 0:00:00
1ayfA_1put,213378,4,04/07/2016 0:00:00
1aym1_2hwf1,965474,69,04/07/2016 0:00:00
1aym2_1hri2,767450,41,04/07/2016 0:00:00
1aym2_1qqp2,144075,2,04/07/2016 0:00:00
1aym3_1b35A,-288088,1,04/07/2016 0:00:00
1aym3_1ihmA,-313370,1,04/07/2016 0:00:00
1aym3_1rud3,-8528,2,04/07/2016 0:00:00
1az9_1bn5,-270749,3,04/07/2016 0:00:00
1az9_1c24A,68580,8,04/07/2016 0:00:00
1azpA_1bf4A,863,51,04/07/2016 0:00:00
1azsA_1culB,503221,15,04/07/2016 0:00:00
1azsA_1fx2A,410221,7,04/07/2016 0:00:00
1b0nA_1r69,12721,2,04/07/2016 0:00:00
1b0uA_1jj7A,353513,14,04/07/2016 0:00:00
1b0uA_1skyE,8327,10,04/07/2016 0:00:00
1b16A_1bdb,600464,10,04/07/2016 0:00:00
1b16A_1bsvA,177016,5,04/07/2016 0:00:00
1b16A_1e6wA,627989,13,04/07/2016 0:00:00
1b16A_1fds,596172,7,04/07/2016 0:00:00
1b16A_1he2A,127787,1,04/07/2016 0:00:00
1b16A_1xel,303958,6,04/07/2016 0:00:00
1b16A_1ybvA,513530,10,04/07/2016 0:00:00
1b16A_3chy,147404,0,04/07/2016 0:00:00
1b20A_1rgeA,35583,2,04/07/2016 0:00:00
1b25A_1aorA,705519,6,04/07/2016 0:00:00
1b2pA_1msaA,197610,6,04/07/2016 0:00:00
1b34B_1d3bA,27806,0,04/07/2016 0:00:00
1b34B_1d3bB,12960,0,04/07/2016 0:00:00
1b34B_1i8fA,-6184,0,04/07/2016 0:00:00
1b35A_1b35B,-422800,1,04/07/2016 0:00:00
1b35A_1ihmA,-47250,0,04/07/2016 0:00:00
1b35A_2mev1,-203180,1,04/07/2016 0:00:00
1b37B_1gpeA,-892336,4,04/07/2016 0:00:00
1b3aA_1hfgA,181645,6,04/07/2016 0:00:00
1b3aA_1tvxA,115089,2,04/07/2016 0:00:00
1b3jA_1agdA,2161,82,04/07/2016 0:00:00
1b3mA_1b8sA,-482398,3,04/07/2016 0:00:00
1b4kA_1qmlA,950924,2,04/07/2016 0:00:00
1b5fB_1smrA,274033,8,04/07/2016 0:00:00
1b5l_1rmi,370110,0,04/07/2016 0:00:00
1b64_1fjfJ,110149,0,04/07/2016 0:00:00
1b6cB_1ia8A,75389,2,04/07/2016 0:00:00
1b6e_1fm5A,-127534,1,04/07/2016 0:00:00
1b6e_1hyrB,254167,5,04/07/2016 0:00:00
1b6g_1bn6A,-149215,3,04/07/2016 0:00:00
1b6g_1cqwA,-174199,3,04/07/2016 0:00:00
1b6rA_1gsoA,621437,6,04/07/2016 0:00:00
1b6tA_1f9aA,222692,5,04/07/2016 0:00:00
1b7eA_1f3iA,-596230,0,04/07/2016 0:00:00
1b7fA_1b64,-231565,0,04/07/2016 0:00:00
1b7gO_1drw,162832,3,04/07/2016 0:00:00
1b7gO_1gcuA,-239665,1,04/07/2016 0:00:00
1b7gO_1ofgA,-287742,0,04/07/2016 0:00:00
1b87A_1i21A,-161765,0,04/07/2016 0:00:00
1b8aA_1aszA,503025,16,04/07/2016 0:00:00
1b8aA_1lylA,729558,19,04/07/2016 0:00:00
1b8gA_1bjwA,820823,13,04/07/2016 0:00:00
1b8gA_1bw0A,816574,11,04/07/2016 0:00:00
1b8gA_1iaxA,1769103,32,04/07/2016 0:00:00
1b8oA_1cb0A,356419,5,04/07/2016 0:00:00
1b8xA_1pd21,-50447,2,04/07/2016 0:00:00
1b8xA_1pgtA,166002,1,04/07/2016 0:00:00
1b93A_1g8mA,-244078,0,04/07/2016 0:00:00
1b9hA_1ibjA,274188,4,04/07/2016 0:00:00
1b9lA_1dhn,220234,6,04/07/2016 0:00:00
1b9yC_1a0rP,-64400,1,04/07/2016 0:00:00
1b9zA_1a49A,-51629,0,04/07/2016 0:00:00
1ba1_1dkgD,7840,176,04/07/2016 0:00:00
1ba1_1glcG,424927,15,04/07/2016 0:00:00
1bag_1smd,690633,44,04/07/2016 0:00:00
1bak_1btkA,-178439,1,04/07/2016 0:00:00
1bak_1btn,-62424,1,04/07/2016 0:00:00
1bak_1dynA,-17194,2,04/07/2016 0:00:00
1bak_1faoA,-158818,1,04/07/2016 0:00:00
1bak_1mai,-101879,1,04/07/2016 0:00:00
1bb9_2semA,32359,2,04/07/2016 0:00:00
1bbhA_1jafB,63616,3,04/07/2016 0:00:00
1bbhA_2ccyA,55906,3,04/07/2016 0:00:00
1bbzA_1ckaA,101111,3,04/07/2016 0:00:00
1bbzA_1gcpA,83809,3,04/07/2016 0:00:00
1bcfA_1dpsA,1743,1,04/07/2016 0:00:00
1bcfA_1eumA,272603,3,04/07/2016 0:00:00
1bcfA_1qghA,128345,1,04/07/2016 0:00:00
1bcfA_2fha,258191,3,04/07/2016 0:00:00
1bcpA_1lt3A,-25300,0,04/07/2016 0:00:00
1bcpD_1prtF,60,21,04/07/2016 0:00:00
1bcpD_1tiiD,331,16,04/07/2016 0:00:00
1bcpD_3chbD,1186,14,04/07/2016 0:00:00
1bd3A_1dkuA,303545,1,04/07/2016 0:00:00
1bd3A_1nulA,156924,0,04/07/2016 0:00:00
1bdb_1cydA,614710,12,04/07/2016 0:00:00
1bdb_1e6wA,658163,13,04/07/2016 0:00:00
1bdb_1e7wA,605360,14,04/07/2016 0:00:00
1bdb_1hdcA,623547,15,04/07/2016 0:00:00
1bdb_1oaa,590337,7,04/07/2016 0:00:00
1bdb_1ybvA,539171,13,04/07/2016 0:00:00
1bdo_1ghj,120624,3,04/07/2016 0:00:00
1bdo_1iyu,124015,2,04/07/2016 0:00:00
1bdyA_1rlw,-146496,0,04/07/2016 0:00:00
1be3A_1be3B,677867,1,04/07/2016 0:00:00
1be3A_1ezvA,831397,1,04/07/2016 0:00:00
1be3A_1ezvB,792178,1,04/07/2016 0:00:00
1be3A_1hr6A,774800,1,04/07/2016 0:00:00
1be3B_1bccB,780689,7,04/07/2016 0:00:00
1be3B_1ezvB,649334,4,04/07/2016 0:00:00
1be3B_1hr6A,645061,5,04/07/2016 0:00:00
1be3C_3bccC,1583,283,04/07/2016 0:00:00
1bebA_1bj7,118049,1,04/07/2016 0:00:00
1bebA_1epaA,78516,1,04/07/2016 0:00:00
1bebA_1mup,125649,1,04/07/2016 0:00:00
1bec_1iakB,117300,3,04/07/2016 0:00:00
1bec_1tvdA,150644,3,04/07/2016 0:00:00
1bec_3mcg1,189242,6,04/07/2016 0:00:00
1befA_1jxpA,21054,12,04/07/2016 0:00:00
1befA_2hrvA,39524,3,04/07/2016 0:00:00
1bf2_1ehaA,352099,1,04/07/2016 0:00:00
1bfd_1d4oA,230421,1,04/07/2016 0:00:00
1bfg_1afcH,187451,2,04/07/2016 0:00:00
1bfg_1jlyA,47663,1,04/07/2016 0:00:00
1bg2_1f9tA,706538,52,04/07/2016 0:00:00
1bglA_1bhgA,121498,15,04/07/2016 0:00:00
1bh9B_1jfiB,-55417,0,04/07/2016 0:00:00
1bh9B_1tafA,-11603,0,04/07/2016 0:00:00
1bhe_1czfA,288909,6,04/07/2016 0:00:00
1bhe_1rmg,238465,7,04/07/2016 0:00:00
1bhgA_1qnoA,-335020,5,04/07/2016 0:00:00
1bhtA_5hpgA,-179101,14,04/07/2016 0:00:00
1bi0_1fx7B,274330,1,04/07/2016 0:00:00
1bi0_1smtA,-43220,0,04/07/2016 0:00:00
1bi5A_1dd8A,353081,4,04/07/2016 0:00:00
1bi5A_1hn9A,268746,12,04/07/2016 0:00:00
1bif_1qhfA,-171055,3,04/07/2016 0:00:00
1bj4A_1bjwA,423102,4,04/07/2016 0:00:00
1bj7_1epaA,114850,2,04/07/2016 0:00:00
1bj7_1obpA,149185,1,04/07/2016 0:00:00
1bjnA_1bt4A,422730,7,04/07/2016 0:00:00
1bjwA_1bw0A,904423,15,04/07/2016 0:00:00
1bjwA_1cl2A,381247,4,04/07/2016 0:00:00
1bjwA_1d2fA,970669,9,04/07/2016 0:00:00
1bjx_1qgvA,7456,0,04/07/2016 0:00:00
1bk5A_1ialA,630689,2,04/07/2016 0:00:00
1bk7A_1bolA,274015,11,04/07/2016 0:00:00
1bkjA_1f5vA,456563,5,04/07/2016 0:00:00
1bkjA_1vfrA,-2633,1,04/07/2016 0:00:00
1bkpA_1tlcA,852922,42,04/07/2016 0:00:00
1bkrA_1aoa,-455564,0,04/07/2016 0:00:00
1bkrA_1bhdA,312389,3,04/07/2016 0:00:00
1bli_1jdc,245105,9,04/07/2016 0:00:00
1bm9A_1cf7B,-26856,1,04/07/2016 0:00:00
1bmdA_1b8pA,551108,12,04/07/2016 0:00:00
1bmdA_1ceqA,617447,12,04/07/2016 0:00:00
1bmdA_1hyhA,605227,10,04/07/2016 0:00:00
1bmdA_2cmd,480887,12,04/07/2016 0:00:00
1bmfG_1mabG,186966,0,04/07/2016 0:00:00
1bmlC_1qqrC,-17630,1,04/07/2016 0:00:00
1bn5_1c24A,-269733,4,04/07/2016 0:00:00
1bn6A_1cv2A,-10873,3,04/07/2016 0:00:00
1bndA_1aocA,-18460,1,04/07/2016 0:00:00
1bndA_1nt3A,81252,1,04/07/2016 0:00:00
1bo4A_1cjwA,-42597,1,04/07/2016 0:00:00
1bo4A_1i21A,-43318,0,04/07/2016 0:00:00
1bob_1qsmA,-511503,0,04/07/2016 0:00:00
1bob_1yghA,-1126064,0,04/07/2016 0:00:00
1bolA_1bk7A,235706,10,04/07/2016 0:00:00
1booA_1eg2A,-286897,2,04/07/2016 0:00:00
1boy_1a21A,-335658,2,04/07/2016 0:00:00
1bp7A_1af5,50249,3,04/07/2016 0:00:00
1bpi_1brcI,154621,4,04/07/2016 0:00:00
1bpv_1bquA,-389213,0,04/07/2016 0:00:00
1bpv_2fnbA,72811,3,04/07/2016 0:00:00
1bpwA_1euhA,1573761,49,04/07/2016 0:00:00
1bpwA_1eyyA,1528143,30,04/07/2016 0:00:00
1bqcA_7a3hA,72541,5,04/07/2016 0:00:00
1bqg_1ec7B,813231,15,04/07/2016 0:00:00
1bqg_1mucA,453188,4,04/07/2016 0:00:00
1bqg_1qumA,8710,0,04/07/2016 0:00:00
1bqg_2mnr,259475,2,04/07/2016 0:00:00
1bqk_2mtaA,76552,2,04/07/2016 0:00:00
1bqsA_1cvsC,-902920,1,04/07/2016 0:00:00
1bquA_1bj8,-442668,1,04/07/2016 0:00:00
1br9_1d2bA,17294,2,04/07/2016 0:00:00
1br9_1jc7A,-1748,0,04/07/2016 0:00:00
1brmA_1drw,-163235,4,04/07/2016 0:00:00
1brmA_1gcuA,-295831,1,04/07/2016 0:00:00
1brmA_1qrrA,-31753,0,04/07/2016 0:00:00
1brt_1i6wA,280689,3,04/07/2016 0:00:00
1brt_1jfrA,-299769,0,04/07/2016 0:00:00
1brt_1qlwA,-520316,0,04/07/2016 0:00:00
1bs0A_1b8gA,456394,4,04/07/2016 0:00:00
1bs0A_1elqA,289575,5,04/07/2016 0:00:00
1bs9_1cex,-334965,3,04/07/2016 0:00:00
1bs9_1ei9A,-199229,2,04/07/2016 0:00:00
1bsvA_1bwsA,724013,20,04/07/2016 0:00:00
1bsvA_1bxkA,567820,13,04/07/2016 0:00:00
1bsvA_1he2A,348906,5,04/07/2016 0:00:00
1bsvA_1xel,832929,16,04/07/2016 0:00:00
1bt3A_1lla,440571,7,04/07/2016 0:00:00
1btkA_1btn,-242963,1,04/07/2016 0:00:00
1btkA_1dynA,-180335,2,04/07/2016 0:00:00
1btkA_1faoA,-222694,1,04/07/2016 0:00:00
1btkA_1pls,-141390,1,04/07/2016 0:00:00
1btkA_1rrpB,-318979,0,04/07/2016 0:00:00
1btl_1e25A,330638,13,04/07/2016 0:00:00
1btl_1ei5A,-206666,0,04/07/2016 0:00:00
1btl_1omeB,267425,20,04/07/2016 0:00:00
1btl_1skf,112542,3,04/07/2016 0:00:00
1btn_1dynA,-83828,1,04/07/2016 0:00:00
1btn_1mai,-108112,1,04/07/2016 0:00:00
1btn_1pls,-85267,1,04/07/2016 0:00:00
1btn_1qqgA,-674173,1,04/07/2016 0:00:00
1btn_1rrpB,-142786,0,04/07/2016 0:00:00
1bu2A_1g3nC,530164,7,04/07/2016 0:00:00
1bu2A_1vin,549789,11,04/07/2016 0:00:00
1bu7A_1ea1A,889521,9,04/07/2016 0:00:00
1burA_1rusB,42452,85,04/07/2016 0:00:00
1bv1_1em2A,-123978,0,04/07/2016 0:00:00
1bv1_3pmgA,174834,0,04/07/2016 0:00:00
1bvwA_1dysA,778051,31,04/07/2016 0:00:00
1bvwA_1tml,443903,2,04/07/2016 0:00:00
1bvzA_1cxlA,-381689,5,04/07/2016 0:00:00
1bvzA_1ehaA,-369969,0,04/07/2016 0:00:00
1bvzA_1smaA,846012,14,04/07/2016 0:00:00
1bvzA_7taa,171556,10,04/07/2016 0:00:00
1bw0A_1d2fA,819989,6,04/07/2016 0:00:00
1bw9A_1qorA,33163,1,04/07/2016 0:00:00
1bw9A_1qp8A,1478,3,04/07/2016 0:00:00
1bx4A_1dgyA,285876,10,04/07/2016 0:00:00
1bx4A_1rkd,107260,4,04/07/2016 0:00:00
1bxkA_1db3A,789862,15,04/07/2016 0:00:00
1bxkA_1eq2A,740981,14,04/07/2016 0:00:00
1bxkA_1he2A,392610,4,04/07/2016 0:00:00
1bxkA_1xel,644603,19,04/07/2016 0:00:00
1byb_1fa2A,929750,21,04/07/2016 0:00:00
1byfA_1esl,-227605,0,04/07/2016 0:00:00
1byfA_1fm5A,169220,5,04/07/2016 0:00:00
1byfA_1htn,-215440,0,04/07/2016 0:00:00
1byfA_1rtm1,-34973,0,04/07/2016 0:00:00
1byi_1eg7A,186158,2,04/07/2016 0:00:00
1byi_1nksA,-276147,1,04/07/2016 0:00:00
1bykA_1gca,338157,2,04/07/2016 0:00:00
1bykA_1qpzA,454253,3,04/07/2016 0:00:00
1bykA_1tlfA,451037,3,04/07/2016 0:00:00
1bykA_2dri,419311,2,04/07/2016 0:00:00
1bylA_1ecsA,137907,2,04/07/2016 0:00:00
1bylA_1qipA,124011,2,04/07/2016 0:00:00
1bylA_1qtoA,153028,3,04/07/2016 0:00:00
1byuA_1ctqA,405624,15,04/07/2016 0:00:00
1bywA_1drmA,-98217,0,04/07/2016 0:00:00
1bywA_1g28D,-12538,0,04/07/2016 0:00:00
1bywA_3pyp,-38203,0,04/07/2016 0:00:00
1c05A_1dm9A,4260,4,04/07/2016 0:00:00
1c0aA_1adjA,265366,9,04/07/2016 0:00:00
1c0aA_1lylA,758373,30,04/07/2016 0:00:00
1c0nA_1ecxA,795849,19,04/07/2016 0:00:00
1c0nA_1elqA,1157173,15,04/07/2016 0:00:00
1c20A_1ig6A,-11357,1,04/07/2016 0:00:00
1c24A_1chmA,158338,5,04/07/2016 0:00:00
